feature,mae_increase_when_permuted,std
avg_previous_cycle_length,1.0098301832199095,0.018986907505730767
prev_cycle_1,0.8330783360481263,0.017124587789767484
prev_cycle_3,0.0650133812904358,0.003999430050978307
prev_cycle_2,0.011912184906005874,0.002861939147972998
std_previous_cycle_length,0.008187257575988793,0.0025793492559099828
stress_level,0.004408727359771758,0.001647982708748842
sleep_hours,0.00400012950897215,0.0009913451277259303
avg_previous_period_length,0.00027555408477784036,0.00021259198943337227
prev_period_1,0.00021401157379152824,0.00028845699152621495
height_cm,0.00013898324966428178,0.00013898313907012143
prev_period_3,0.0001345609664917369,0.00012186336762444613
uses_medication_or_contraceptive,5.628013610836646e-06,4.6749792160603405e-05
weight_kg,1.774501800566597e-06,0.0002315724301845403
prev_period_2,-8.013343811041907e-06,0.00030118695256243556
exercise_frequency,-2.3315620422370566e-05,6.872705473269974e-05
age_years,-0.00014015102386470967,0.00041128505831680647
menarche_age,-0.0004384496688842887,9.206766275810522e-05
bmi,-0.00045639286041259107,0.0003578332815873674
