rank,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,mean_cv_mae,std_cv_mae
1,300,0.05,2,5,0.7,1.231510820726346,0.03749511402341047
2,300,0.03,2,5,0.7,1.2330312747589907,0.037910477430203496
3,200,0.05,3,5,1.0,1.2333173884875852,0.03840828441287155
4,250,0.03,3,3,0.9,1.2341038306173602,0.03667997821943852
5,150,0.05,2,3,1.0,1.2341791362278753,0.03615353222885848
6,250,0.03,2,1,0.7,1.2347519573896384,0.03723352013253456
7,100,0.1,3,3,1.0,1.2352378703202653,0.03534319615733355
8,100,0.05,3,3,0.7,1.2354059635310717,0.036337796599886694
9,150,0.03,3,5,0.7,1.2366094909854182,0.0368001408392337
10,100,0.05,4,5,0.7,1.2391757330365722,0.036313221177703595
11,100,0.05,2,1,1.0,1.2420917336295263,0.034158082432935895
12,200,0.1,3,5,0.9,1.2429697879752104,0.03608132077428502
13,150,0.03,2,5,0.7,1.2444538446822788,0.03560387848102384
14,300,0.1,2,1,0.9,1.2453245656598075,0.03597068486198636
15,250,0.05,4,5,0.9,1.2472189319233304,0.035581515830132804
16,100,0.03,3,5,1.0,1.2581879464834271,0.03329405935439582
17,150,0.1,4,1,1.0,1.276756667219734,0.025614190746929694
18,150,0.1,4,1,0.9,1.280926919736181,0.02488314348636756
19,250,0.1,4,3,0.9,1.2822799836915295,0.028707550154725384
20,300,0.1,4,3,0.7,1.2972367133172082,0.037022151465583825
